"","Subject","Procedure","Prime","Stimuli2","PrimeCondition","Trial","PrimeDef.RESP.Trial.","PrimeFirstResp_ACC","PrimeDef.RT.Trial.","PrimeResponse.RESP.Trial.","PrimeResponse.RT.Trial.","Target","TargetDefinition.RESP.Trial.","TargetFirstResp_ACC","TargetDefinition.RT.Trial.","TargetResponse.RESP.Trial.","TargetResponse.RT.Trial.","TargetQuestion","TargetQuestionRT","RTrecognisePrime","RTrecogniseTarget"
"1",1,"S1","resign",1,"R",49,"resign{SPACE}",1,7013,"resign{SPACE}",2019,"abdicate","{SPACE}",0,7710,"abdicate{SPACE}",4391,3,2366,1587,3722
"2",1,"S1","native",2,"R",4,"citizen{SPACE}",0,7332,"native{SPACE}",2289,"aborigine","aborigine{SPACE}",1,5710,"aborigine{SPACE}",6682,1,1224,2750,745
"4",1,"S1","condone",4,"R",55,"{SPACE}",0,6091,"condone{SPACE}",1850,"advocate","advocate{SPACE}",1,5210,"advocate{SPACE}",2661,1,1178,2444,2619
"5",1,"S1","Bronte",5,"R",67,"{SPACE}",0,3802,"{SHIFT}Bronte{SPACE}",2225,"Alcott","{SPACE}",0,6883,"{SHIFT}Alcott{SPACE}",1735,4,1367,4212,3422
"6",1,"S1","misplace",6,"R",42,"{SPACE}",0,8906,"misplace{SPACE}",2407,"anachronism","{SPACE}",0,8830,"anchronism{SPACE}",3837,4,1875,1907,3860
"7",1,"S1","puzzle",7,"R",41,"puzzle{SPACE}",1,5311,"puzzle{SPACE}",2118,"anagram","anagram{SPACE}",1,6810,"anagram{SPACE}",2291,4,5099,1572,2065
"8",1,"S1","Himalayas",8,"R",33,"{SHIFT}Himalayas{SPACE}",1,7283,"{SHIFT}Himalayas{SPACE}",3899,"Andes","{SHIFT}Andes{SPACE}",1,4025,"{SHIFT}Andes{SPACE}",1715,1,1206,1728,720
"9",1,"S1","Cinderella",9,"R",46,"cinderella{SPACE}",1,5367,"{SHIFT}Cinderella{SPACE}",2932,"Aurora","belle{SPACE}",0,7012,"{SHIFT}Aurora{SPACE}",4075,3,2566,1770,3625
"10",1,"S1","Shanghai",10,"R",21,"{SHIFT}Vietnam{SPACE}",1,5385,"{SHIFT}Vietnam{SPACE}",3316,"Bangkok","{SPACE}",0,5459,"{SHIFT}Bangkok{SPACE}",2957,3,5514,3266,2178
"11",1,"S1","tariff",11,"R",8,"tariff{SPACE}",1,5300,"tariff{SPACE}",5916,"barter","barter{SPACE}",1,5853,"barter{SPACE}",2520,1,1200,2675,2689
"12",1,"S1","Messi",12,"R",2,"{SHIFT}Messi{SPACE}",1,3631,"{SHIFT}Messi{SPACE}",3971,"Beckham","{SHIFT}Rooney{SPACE}",0,6089,"{SHIFT}Beckham{SPACE}",3901,4,17121,3318,2394
"14",1,"S1","skeleton",14,"R",52,"skeleton{SPACE}",1,4155,"skeleton{SPACE}",2150,"carcass","corpse{SPACE}",0,8056,"carcass{SPACE}",2679,3,1614,806,1824
"15",1,"S1","Rowling",15,"R",13,"{SHIFT}Rowling{SPACE}",1,3560,"{SHIFT}Rowling{SPACE}",2392,"Carroll","{SHIFT}Dickens{SPACE}",0,6720,"{SHIFT}Carroll{SPACE}",2614,1,3408,1213,3933
"16",1,"S1","gecko",16,"R",11,"gecko{SPACE}",1,5705,"gecko{SPACE}",2205,"chameleon","chameleon{SPACE}",1,4843,"chameleon{SPACE}",3298,1,1306,2379,1471
